ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,phase2_eligibility,phase2_mc_score_median,phase2_mc_rank_median,phase2_mc_rank_p05,phase2_mc_rank_p95,phase2_mc_probability_top_decile
352710,3527108,Lins,SP,eligible_phase2_geodesic_proxy,66.68360137939453,209.0,195.0,232.0,1.0
411750,4117503,Paiçandu,PR,eligible_phase2_geodesic_proxy,66.65048217773438,210.0,199.0,237.0500030517578,1.0
411410,4114104,Mandaguaçu,PR,eligible_phase2_geodesic_proxy,66.48593139648438,210.5,166.0,263.04998779296875,1.0
510840,5108402,Várzea Grande,MT,eligible_phase2_geodesic_proxy,66.77080535888672,210.5,119.94999694824219,332.04998779296875,1.0
420320,4203204,Camboriú,SC,eligible_phase2_geodesic_proxy,66.62287139892578,212.0,194.0,248.0500030517578,1.0
354660,3546603,Santa Fé do Sul,SP,eligible_phase2_geodesic_proxy,66.39186096191406,213.0,121.0,292.04998779296875,1.0
240325,2403251,Parnamirim,RN,eligible_phase2_geodesic_proxy,66.40682983398438,213.0,196.0,245.0,1.0
316870,3168705,Timóteo,MG,eligible_phase2_geodesic_proxy,66.23904418945312,215.0,140.0,280.0,1.0
351830,3518305,Guararema,SP,eligible_phase2_geodesic_proxy,66.28406524658203,215.0,161.0,285.04998779296875,1.0
280030,2800308,Aracaju,SE,eligible_phase2_geodesic_proxy,66.41178894042969,217.0,153.0,303.0,1.0
350660,3506607,Biritiba Mirim,SP,eligible_phase2_geodesic_proxy,66.02603149414062,218.0,140.0,300.0,1.0
500100,5001003,Aparecida do Taboado,MS,eligible_phase2_geodesic_proxy,65.88087463378906,219.0,158.9499969482422,283.04998779296875,1.0
352260,3522604,Itapira,SP,eligible_phase2_geodesic_proxy,65.86134338378906,222.0,158.0,283.0,1.0
172100,1721000,Palmas,TO,eligible_phase2_geodesic_proxy,65.51225280761719,223.0,176.0,278.0,1.0
420910,4209102,Joinville,SC,eligible_phase2_geodesic_proxy,65.56006622314453,225.0,195.0,258.0,1.0
354760,3547601,Santa Rosa de Viterbo,SP,eligible_phase2_geodesic_proxy,65.83151245117188,226.0,207.9499969482422,258.04998779296875,1.0
353340,3533403,Nova Odessa,SP,eligible_phase2_geodesic_proxy,65.2828598022461,226.0,171.9499969482422,294.04998779296875,1.0
