ibge_municipio_7,municipio_nome_ibge_seat,uf_sigla_ibge_seat,seat_latitude,seat_longitude,seat_category,seat_subcategory
1506161,Rio Maria,PA,-7.3144,-50.0466,Cidade,Sede Municipal
1506187,Rondon do Pará,PA,-4.779,-48.0668,Cidade,Sede Municipal
1506195,Rurópolis,PA,-4.0973,-54.9079,Cidade,Sede Municipal
1506203,Salinópolis,PA,-0.6145,-47.3565,Cidade,Sede Municipal
1506302,Salvaterra,PA,-0.7554,-48.5149,Cidade,Sede Municipal
1506351,Santa Bárbara do Pará,PA,-1.2285,-48.2918,Cidade,Sede Municipal
1506401,Santa Cruz do Arari,PA,-0.6644,-49.1715,Cidade,Sede Municipal
1506500,Santa Izabel do Pará,PA,-1.2988,-48.1649,Cidade,Sede Municipal
1506559,Santa Luzia do Pará,PA,-1.5247,-46.898,Cidade,Sede Municipal
1506583,Santa Maria das Barreiras,PA,-8.8711,-49.7163,Cidade,Sede Municipal
1506609,Santa Maria do Pará,PA,-1.3497,-47.5757,Cidade,Sede Municipal
1506708,Santana do Araguaia,PA,-9.3395,-50.337,Cidade,Sede Municipal
1506807,Santarém,PA,-2.4385,-54.7157,Cidade,Sede Municipal
1506906,Santarém Novo,PA,-0.9287,-47.3989,Cidade,Sede Municipal
1507003,Santo Antônio do Tauá,PA,-1.1521,-48.1298,Cidade,Sede Municipal
1507102,São Caetano de Odivelas,PA,-0.7475,-48.0198,Cidade,Sede Municipal
1507151,São Domingos do Araguaia,PA,-5.5409,-48.7304,Cidade,Sede Municipal
1507201,São Domingos do Capim,PA,-1.6747,-47.7752,Cidade,Sede Municipal
1507300,São Félix do Xingu,PA,-6.6424,-51.9943,Cidade,Sede Municipal
1507409,São Francisco do Pará,PA,-1.1697,-47.7973,Cidade,Sede Municipal
1507458,São Geraldo do Araguaia,PA,-6.3874,-48.5611,Cidade,Sede Municipal
1507466,São João da Ponta,PA,-0.8489,-47.9226,Cidade,Sede Municipal
1507474,São João de Pirabas,PA,-0.7688,-47.1742,Cidade,Sede Municipal
1507508,São João do Araguaia,PA,-5.3555,-48.7889,Cidade,Sede Municipal
1507607,São Miguel do Guamá,PA,-1.6245,-47.485,Cidade,Sede Municipal
1507706,São Sebastião da Boa Vista,PA,-1.7184,-49.5326,Cidade,Sede Municipal
1507755,Sapucaia,PA,-6.9429,-49.6997,Cidade,Sede Municipal
1507805,Senador José Porfírio,PA,-2.5915,-51.9548,Cidade,Sede Municipal
1507904,Soure,PA,-0.7293,-48.5207,Cidade,Sede Municipal
1507953,Tailândia,PA,-2.9464,-48.9533,Cidade,Sede Municipal
1507961,Terra Alta,PA,-1.0392,-47.9074,Cidade,Sede Municipal
1507979,Terra Santa,PA,-2.1107,-56.4917,Cidade,Sede Municipal
1508001,Tomé-Açu,PA,-2.4208,-48.151,Cidade,Sede Municipal
1508035,Tracuateua,PA,-1.0745,-46.9032,Cidade,Sede Municipal
1508050,Trairão,PA,-4.7039,-55.9964,Cidade,Sede Municipal
1508084,Tucumã,PA,-6.7532,-51.1552,Cidade,Sede Municipal
1508100,Tucuruí,PA,-3.7662,-49.6702,Cidade,Sede Municipal
1508126,Ulianópolis,PA,-3.7452,-47.4988,Cidade,Sede Municipal
1508159,Uruará,PA,-3.7235,-53.7345,Cidade,Sede Municipal
1508209,Vigia,PA,-0.8524,-48.1448,Cidade,Sede Municipal
1508308,Viseu,PA,-1.2086,-46.1374,Cidade,Sede Municipal
1508357,Vitória do Xingu,PA,-2.8826,-52.0131,Cidade,Sede Municipal
1508407,Xinguara,PA,-7.1046,-49.9462,Cidade,Sede Municipal
1600055,Serra do Navio,AP,0.9012,-52.0026,Cidade,Sede Municipal
1600105,Amapá,AP,2.0502,-50.7917,Cidade,Sede Municipal
1600154,Pedra Branca do Amapari,AP,0.7775,-51.9525,Cidade,Sede Municipal
1600204,Calçoene,AP,2.4928,-50.9505,Cidade,Sede Municipal
1600212,Cutias,AP,0.9724,-50.7996,Cidade,Sede Municipal
1600238,Ferreira Gomes,AP,0.8603,-51.1807,Cidade,Sede Municipal
1600253,Itaubal,AP,0.6032,-50.6989,Cidade,Sede Municipal
1600279,Laranjal do Jari,AP,-0.8413,-52.5202,Cidade,Sede Municipal
1600303,Macapá,AP,0.0407,-51.0574,Cidade,Sede Municipal
1600402,Mazagão,AP,-0.1159,-51.284,Cidade,Sede Municipal
1600501,Oiapoque,AP,3.847,-51.8371,Cidade,Sede Municipal
1600535,Porto Grande,AP,0.7054,-51.4094,Cidade,Sede Municipal
1600550,Pracuúba,AP,1.7462,-50.7833,Cidade,Sede Municipal
1600600,Santana,AP,-0.0308,-51.178,Cidade,Sede Municipal
1600709,Tartarugalzinho,AP,1.506,-50.9104,Cidade,Sede Municipal
1600808,Vitória do Jari,AP,-0.9289,-52.4284,Cidade,Sede Municipal
1700251,Abreulândia,TO,-9.6241,-49.1542,Cidade,Sede Municipal
1700301,Aguiarnópolis,TO,-6.5568,-47.4792,Cidade,Sede Municipal
1700350,Aliança do Tocantins,TO,-11.3055,-48.9396,Cidade,Sede Municipal
1700400,Almas,TO,-11.5697,-47.1671,Cidade,Sede Municipal
1700707,Alvorada,TO,-12.4801,-49.1254,Cidade,Sede Municipal
1701002,Ananás,TO,-6.3741,-48.0702,Cidade,Sede Municipal
1701051,Angico,TO,-6.3872,-47.8668,Cidade,Sede Municipal
