osm_feature_id,osm_type,osm_id,name,operator,brand,latitude,longitude,source,valid_coordinates
node/5486747824,node,5486747824,Drogasil,,Drogasil,-15.7527612,-47.8895795,OpenStreetMap amenity=pharmacy,True
node/5487834044,node,5487834044,,,,-5.9119878,-35.278618,OpenStreetMap amenity=pharmacy,True
node/5487993924,node,5487993924,Ideal Farma,,,-7.2078554,-36.8244189,OpenStreetMap amenity=pharmacy,True
node/5487993928,node,5487993928,Rede Mais,,,-7.0687032,-36.5782126,OpenStreetMap amenity=pharmacy,True
node/5487994028,node,5487994028,Droganova,,,-7.0675446,-36.5781317,OpenStreetMap amenity=pharmacy,True
node/5489310710,node,5489310710,Manipulla,,,-28.9341998,-49.4850617,OpenStreetMap amenity=pharmacy,True
node/5495031721,node,5495031721,Droga Raia,,Droga Raia,-22.8831088,-47.0338282,OpenStreetMap amenity=pharmacy,True
node/5499036222,node,5499036222,Azevedo,,,-6.7383562,-37.5670209,OpenStreetMap amenity=pharmacy,True
node/5499047533,node,5499047533,Diniz,,,-6.1880366,-37.5361467,OpenStreetMap amenity=pharmacy,True
node/5499047542,node,5499047542,Santa Helena,,,-6.4459037,-37.9295634,OpenStreetMap amenity=pharmacy,True
node/5499048034,node,5499048034,Menino Jesus,,,-6.3419576,-37.7465211,OpenStreetMap amenity=pharmacy,True
node/5499048045,node,5499048045,Pró Saúde,,,-6.7618523,-37.7897949,OpenStreetMap amenity=pharmacy,True
node/5499982207,node,5499982207,Farmácia Brasil Poupa Lar,,,-27.1064413,-52.6081368,OpenStreetMap amenity=pharmacy,True
node/5503544977,node,5503544977,Farmacia Rio Branco,,,-25.3102799,-49.2976996,OpenStreetMap amenity=pharmacy,True
node/5503662049,node,5503662049,Rio Branco,,,-25.3074333,-49.2947066,OpenStreetMap amenity=pharmacy,True
node/5505174823,node,5505174823,Farma Dantas,,,-6.7859808,-38.0846409,OpenStreetMap amenity=pharmacy,True
node/5505339722,node,5505339722,Clínica,,,-6.7671279,-38.2326874,OpenStreetMap amenity=pharmacy,True
node/5505919521,node,5505919521,Farmácia Regional,,,-6.7644425,-38.2210069,OpenStreetMap amenity=pharmacy,True
node/5506625322,node,5506625322,Nova Vida,,,-6.843969,-38.3475459,OpenStreetMap amenity=pharmacy,True
node/5509736303,node,5509736303,Blufarma,,,-26.9026431,-49.0978615,OpenStreetMap amenity=pharmacy,True
node/5511485910,node,5511485910,Droga Raia,,Droga Raia,-23.0097456,-43.3506796,OpenStreetMap amenity=pharmacy,True
node/5512068922,node,5512068922,Farmacia,,,-2.6411962,-54.9238106,OpenStreetMap amenity=pharmacy,True
node/5512382166,node,5512382166,Pense Farma,,,-23.6717783,-46.7420474,OpenStreetMap amenity=pharmacy,True
node/5512635722,node,5512635722,,,,-6.9264701,-38.6745333,OpenStreetMap amenity=pharmacy,True
node/5512635723,node,5512635723,Coração de Jesus,,,-6.9246198,-38.6736903,OpenStreetMap amenity=pharmacy,True
node/5512805608,node,5512805608,Pague Menos,,Pague Menos,-2.535088,-44.1995401,OpenStreetMap amenity=pharmacy,True
node/5512805610,node,5512805610,Farmácia do Trabalhador,,,-2.5349192,-44.1991579,OpenStreetMap amenity=pharmacy,True
node/5512805826,node,5512805826,Farmácia do Trabalhador,,,-2.5398255,-44.2080454,OpenStreetMap amenity=pharmacy,True
node/5512805828,node,5512805828,Bella Pharma Laboratórios de Manipulação,,,-2.5400934,-44.2083056,OpenStreetMap amenity=pharmacy,True
node/5512805830,node,5512805830,Farmácias Globo,,,-2.5401243,-44.2084746,OpenStreetMap amenity=pharmacy,True
node/5514343723,node,5514343723,Drogaria Ricarte,,,-6.8745153,-38.5630085,OpenStreetMap amenity=pharmacy,True
node/5514343732,node,5514343732,Farmácia 1 de Maio,,,-6.48253,-38.4799017,OpenStreetMap amenity=pharmacy,True
node/5514370822,node,5514370822,Dia e Noite,,,-6.7205147,-38.639564,OpenStreetMap amenity=pharmacy,True
node/5519253188,node,5519253188,,,,-19.9302035,-43.1741757,OpenStreetMap amenity=pharmacy,True
